Date,Price,Cases
2-Mar-20,737,3
3-Mar-20,755,5
4-Mar-20,753.9,6
5-Mar-20,763.75,28
6-Mar-20,741,29
9-Mar-20,724.5,44
11-Mar-20,690.65,50
12-Mar-20,668,73
13-Mar-20,592,75
16-Mar-20,622,93
17-Mar-20,588.1,125
18-Mar-20,568,137
19-Mar-20,509.25,165
20-Mar-20,549.5,191
23-Mar-20,540,439
24-Mar-20,522,492
25-Mar-20,597,562
26-Mar-20,615,649
27-Mar-20,665.05,724
30-Mar-20,625.1,1071
31-Mar-20,650,1251
1-Apr-20,634.35,1397
3-Apr-20,603.5,2301
7-Apr-20,615,4421
8-Apr-20,630,5194
9-Apr-20,646.8,5734
13-Apr-20,629,9152
15-Apr-20,651.4,11438
16-Apr-20,619.95,12380
17-Apr-20,644,13387
20-Apr-20,640,17265
21-Apr-20,627.8,18600
22-Apr-20,633.2,19984
23-Apr-20,647.05,21393
24-Apr-20,668.55,23077
27-Apr-20,661.05,27892
28-Apr-20,673,29435
29-Apr-20,666,31332
30-Apr-20,700,33050
4-May-20,689.8,42533
5-May-20,681.75,46433
6-May-20,676.9,49391
7-May-20,665.55,52952
8-May-20,672.25,56342
11-May-20,682.5,67152
12-May-20,678.5,70756
13-May-20,694.8,74281
14-May-20,659,78003
15-May-20,664.8,81970
18-May-20,659.85,96169
19-May-20,664,101139
20-May-20,668.5,106750
21-May-20,666.5,112359
22-May-20,675,118447
26-May-20,693,145380
27-May-20,686.05,151767
28-May-20,707,158333
29-May-20,692.5,165799
