Date,Price,Crude
2020-01-06,659.75,68.91
2020-01-07,666.299988,68.27
2020-01-08,665.049988,65.44
2020-01-09,675.650024,65.37
2020-01-10,689.700012,64.98
2020-01-13,704.650024,64.2
2020-01-14,726.599976,64.49
2020-01-15,730,64
2020-01-16,737.900024,64.62
2020-01-17,747.349976,64.85
2020-01-20,746.299988,65.2
2020-01-21,749.450012,64.59
2020-01-22,748.349976,63.21
2020-01-23,758.450012,62.04
2020-01-24,755.400024,60.69
2020-01-27,749.650024,59.32
2020-01-28,748.950012,59.51
2020-01-29,757.549988,59.81
2020-01-30,757.900024,58.29
2020-01-31,751.200012,58.16
2020-02-03,741.549988,54.45
2020-02-04,735.849976,53.96
2020-02-05,750.450012,55.28
2020-02-06,753.150024,54.93
2020-02-07,763.799988,54.47
2020-02-10,335.721008,53.27
2020-02-11,758.25,54.01
2020-02-12,756.650024,55.79
2020-02-13,760.75,56.34
2020-02-14,766.650024,57.32
2020-02-17,752.700012,57.67
2020-02-18,749.599976,57.75
2020-02-19,764.75,59.12
2020-02-20,763.650024,59.31
2020-02-24,749.799988,58.5
2020-02-25,749.599976,56.3
2020-02-26,743.950012,54.95
2020-02-27,731.799988,53.43
2020-02-28,714,52.18
2020-03-02,311.096985,50.52
2020-03-03,319.40799,51.9
2020-03-04,314.950012,51.86
2020-03-05,314.950012,51.13
2020-03-06,310.350006,49.99
2020-03-09,298.25,45.27
2020-03-11,295.450012,34.36
2020-03-12,265.850006,37.22
2020-03-13,275.850006,35.79
2020-03-16,252.050003,33.22
2020-03-17,238.399994,33.85
2020-03-18,226.75,30.05
2020-03-19,223.100006,28.73
2020-03-20,228.949997,24.88
2020-03-23,200.699997,28.47
2020-03-24,200.75,26.98
2020-03-25,210.949997,27.03
2020-03-26,225.100006,27.15
2020-03-27,224.5,27.39
2020-03-30,223,26.34
2020-03-31,223.550003,24.93
2020-04-01,224.649994,22.76
2020-04-03,218.550003,22.74
2020-04-07,229.800003,24.74
2020-04-08,228.600006,29.94
2020-04-09,233.100006,34.11
2020-04-13,237,33.05
2020-04-15,240.050003,31.87
2020-04-16,254.399994,32.84
2020-04-17,254,31.48
2020-04-20,256.450012,31.74
2020-04-21,249.399994,29.6
2020-04-22,249.899994,27.69
2020-04-23,263.450012,27.82
2020-04-24,270.049988,28.08
2020-04-27,278.25,25.57
2020-04-28,285.100006,19.33
2020-04-29,285.049988,20.37
2020-04-30,282.700012,21.33
2020-05-04,281.100006,21.44
2020-05-05,278.25,19.99
2020-05-06,290.549988,20.46
2020-05-07,286.049988,22.54
2020-05-08,288.850006,25.27
2020-05-11,288.700012,26.44
2020-05-12,285,27.2
2020-05-13,299.75,30.97
2020-05-14,292.700012,29.72
2020-05-15,293.200012,29.46
2020-05-18,276.350006,30.97
2020-05-19,280.350006,29.63
2020-05-20,288.850006,29.98
2020-05-21,283.399994,29.19
2020-05-22,295,31.13
2020-05-26,299.5,32.5
2020-05-27,310,34.81
2020-05-28,304.100006,34.65
2020-05-29,306.450012,35.75
2020-06-01,308.450012,36.06
2020-06-02,315.5,35.13
2020-06-03,313.850006,35.53
